acta,codigo,maduro,edmundo,otros,total_validos,total_nulo,total_invalido
017911_018022_0093Acta0093.jpg,040202001.01.1.0001,114,357,11,482,1,1
017911_032908_0032Acta0032.jpg,040201009.03.1.0001,66,344,7,417,0,0
017911_067116_0179Acta0179.jpg,040201005.03.1.0001,96,377,15,488,0,0
017911_134738_0107Acta0107.jpg,040201005.02.1.0001,102,390,14,506,0,0
017911_139267_0057Acta0057.jpg,040202010.04.1.0001,164,347,23,534,0,0
017911_325825_0082Acta0082.jpg,040201011.03.1.0001,123,465,20,608,0,0
017911_408665_0168Acta0168.jpg,040202009.05.1.0001,138,480,22,640,0,0
017911_411693_0092Acta0092.jpg,040202001.02.1.0001,140,359,18,517,0,0
017911_429661_0100Acta0100.jpg,040201008.01.1.0001,115,378,9,502,0,0
017911_459647_0094Acta0094.jpg,040202014.02.1.0001,142,392,21,555,0,0
017911_621544_0102Acta0102.jpg,040201008.05.1.0001,82,443,7,532,0,0
017911_672304_0097Acta0097.jpg,040202014.01.1.0001,133,363,27,523,0,0
017911_673882_0103Acta0103.jpg,040201008.02.1.0001,131,374,11,516,0,0
017911_693390_0127Acta0127.jpg,040203001.02.1.0001,195,387,21,603,0,0
017911_715131_0167Acta0167.jpg,040202009.04.1.0001,147,430,18,595,0,0
017911_926621_0138Acta0138.jpg,040202003.01.1.0001,104,352,18,474,0,0
017911_928009_0101Acta0101.jpg,040201008.04.1.0001,79,370,5,454,0,0
017911_986858_0037Acta0037.jpg,040201006.02.1.0001,82,373,12,467,0,0
017911_991891_0108Acta0108.jpg,040201005.04.1.0001,108,376,15,499,1,1
017911_995181_0129Acta0129.jpg,040203003.02.1.0001,143,345,14,502,0,0
018527_087743_0548Acta0453.jpg,061101009.01.1.0001,141,139,7,287,0,0
018527_498716_0433Acta0338.jpg,060401023.02.1.0001,110,280,20,410,0,0
018527_603795_0516Acta0421.jpg,060401020.01.1.0001,78,461,11,550,0,0
018527_665883_0514Acta0419.jpg,060401020.03.1.0001,84,449,13,546,0,0
018527_699504_0471Acta0376.jpg,060401029.01.1.0001,102,223,20,345,0,0
018527_716467_0529Acta0434.jpg,060401007.05.1.0001,111,528,14,653,0,0
018527_798640_0535Acta0440.jpg,061101001.01.1.0001,199,361,4,564,0,0
018527_860224_0411Acta0316.jpg,060401016.02.1.0001,101,352,16,469,0,0
018527_918177_0527Acta0432.jpg,060401007.03.1.0001,89,456,23,568,0,0
018527_939160_0449Acta0354.jpg,060401043.01.1.0001,170,108,11,289,0,0
020778_188855_0067Acta0067.jpg,041401008.01.1.0001,30,97,6,133,0,0
020778_951290_0074Acta0074.jpg,041401002.02.1.0001,48,510,9,567,0,0
021223_012659_0671Acta0169.jpg,200201022.01.1.0001,44,106,5,155,0,0
021223_013929_0232Acta0075.jpg,200401008.02.1.0001,62,364,9,435,0,0
021223_051694_0185Acta0063.jpg,201101037.01.1.0001,257,384,20,661,0,0
021223_060640_0753Acta0185.jpg,200701008.02.1.0001,91,227,6,324,0,0
021223_078367_0322Acta0094.jpg,200501001.01.1.0001,56,285,9,350,0,0
021223_146047_0508Acta0134.jpg,201301021.01.1.0001,61,30,1,92,0,0
021223_155232_0258Acta0081.jpg,200401001.02.1.0001,84,304,7,395,0,0
021223_224310_0100Acta0032.jpg,201101018.02.1.0001,208,389,25,622,0,0
021223_229522_0177Acta0060.jpg,201001018.02.1.0001,149,532,17,698,0,0
021223_389732_0170Acta0057.jpg,201101007.02.1.0001,133,437,11,581,0,0
021223_394585_0162Acta0054.jpg,201101006.03.1.0001,145,396,15,556,0,0
021223_397797_0158Acta0053.jpg,201101027.02.1.0001,120,375,13,508,0,0
